isin,symbol,session_date,open,high,low,close,volume,traded_value
INE002A01018,RELIANCE,2021-07-20,2099.5,2108.0,2084.0,2093.8,3111185.0,6524718783.0
INE002A01018,RELIANCE,2021-07-22,2119.0,2123.9,2098.15,2120.7,3679260.0,7769110029.9
INE002A01018,RELIANCE,2021-07-23,2134.45,2134.45,2102.05,2105.7,4585938.0,9717885501.1
INE002A01018,RELIANCE,2021-07-26,2108.0,2121.0,2071.1,2076.85,5717830.0,11963623196.15
INE002A01018,RELIANCE,2021-07-27,2076.8,2083.7,2042.0,2055.0,4995516.0,10300736942.35
INE002A01018,RELIANCE,2021-07-28,2058.0,2058.0,2016.25,2037.35,5952355.0,12106241436.45
INE002A01018,RELIANCE,2021-07-29,2054.0,2074.4,2043.4,2053.25,6352886.0,13069140427.4
INE002A01018,RELIANCE,2021-07-30,2058.0,2067.95,2031.1,2035.3,5238304.0,10733444604.55
INE002A01018,RELIANCE,2021-08-02,2054.3,2079.4,2041.15,2072.5,5041934.0,10424020795.65
INE002A01018,RELIANCE,2021-08-03,2090.0,2091.0,2064.2,2087.75,5453682.0,11337335626.5
INE002A01018,RELIANCE,2021-08-04,2094.4,2114.0,2087.0,2103.75,6077861.0,12782821702.95
INE002A01018,RELIANCE,2021-08-05,2114.3,2154.8,2104.25,2134.25,9807831.0,20863638485.35
INE002A01018,RELIANCE,2021-08-06,2129.95,2146.95,2078.75,2089.05,7670583.0,16116399922.15
INE002A01018,RELIANCE,2021-08-09,2081.0,2089.8,2066.5,2077.15,3458546.0,7179873286.45
INE002A01018,RELIANCE,2021-08-10,2082.0,2113.0,2073.75,2088.05,5500708.0,11524960575.4
INE002A01018,RELIANCE,2021-08-11,2096.95,2120.0,2083.4,2117.3,4238859.0,8916794682.95
INE002A01018,RELIANCE,2021-08-12,2124.9,2126.2,2105.0,2110.5,3755507.0,7943326100.05
INE002A01018,RELIANCE,2021-08-13,2117.3,2149.9,2108.95,2145.65,5898384.0,12578027784.1
INE002A01018,RELIANCE,2021-08-16,2149.35,2203.0,2128.15,2173.5,10123204.0,22042343431.7
INE002A01018,RELIANCE,2021-08-17,2168.85,2185.2,2147.85,2164.25,5841743.0,12659986994.25
INE002A01018,RELIANCE,2021-08-18,2174.0,2186.8,2152.6,2172.65,4650008.0,10091414052.7
INE002A01018,RELIANCE,2021-08-20,2143.0,2172.0,2137.0,2148.25,4350228.0,9377502601.9
INE002A01018,RELIANCE,2021-08-23,2174.0,2174.0,2132.3,2162.35,4547802.0,9809454490.65
INE002A01018,RELIANCE,2021-08-24,2165.05,2192.0,2155.6,2183.7,5475452.0,11905165196.9
INE002A01018,RELIANCE,2021-08-25,2185.4,2220.0,2180.1,2202.6,6175126.0,13611364533.6
INE002A01018,RELIANCE,2021-08-26,2208.0,2244.9,2205.0,2230.45,8579105.0,19133818233.65
INE002A01018,RELIANCE,2021-08-27,2237.0,2242.75,2216.05,2227.4,4836812.0,10777769127.85
INE002A01018,RELIANCE,2021-08-30,2250.0,2275.85,2236.8,2270.25,6473487.0,14638152005.7
INE002A01018,RELIANCE,2021-08-31,2276.9,2283.75,2242.25,2258.15,12223037.0,27595093541.45
INE002A01018,RELIANCE,2021-09-01,2273.0,2292.9,2263.0,2267.1,5143640.0,11698056162.6
INE002A01018,RELIANCE,2021-09-02,2255.0,2307.8,2255.0,2294.4,4595048.0,10516781284.45
INE002A01018,RELIANCE,2021-09-03,2310.0,2395.0,2302.5,2388.5,14151629.0,33345403715.9
INE002A01018,RELIANCE,2021-09-06,2413.0,2480.0,2412.0,2425.6,15525644.0,37967265940.3
INE002A01018,RELIANCE,2021-09-07,2430.0,2458.0,2412.0,2440.9,8006968.0,19518192088.85
INE002A01018,RELIANCE,2021-09-08,2452.0,2454.0,2406.65,2431.35,6600210.0,16033248252.3
INE002A01018,RELIANCE,2021-09-09,2427.9,2437.85,2416.1,2425.6,4136538.0,10028369652.2
INE002A01018,RELIANCE,2021-09-13,2433.0,2433.0,2368.05,2371.55,7527598.0,17930286910.15
INE002A01018,RELIANCE,2021-09-14,2375.0,2394.0,2366.0,2368.45,4111205.0,9774584167.8
INE002A01018,RELIANCE,2021-09-15,2368.5,2395.75,2368.5,2378.3,4186300.0,9965045382.75
INE002A01018,RELIANCE,2021-09-16,2381.55,2436.75,2367.0,2428.2,6206657.0,14949050569.95
INE002A01018,RELIANCE,2021-09-17,2446.0,2455.85,2375.6,2390.55,16098099.0,38798580126.85
INE002A01018,RELIANCE,2021-09-20,2372.1,2418.35,2370.0,2394.35,5436385.0,13039553487.25
INE002A01018,RELIANCE,2021-09-21,2405.0,2416.6,2384.0,2404.7,4576111.0,10991510851.65
INE002A01018,RELIANCE,2021-09-22,2408.0,2442.0,2398.25,2430.5,5074612.0,12313409794.1
INE002A01018,RELIANCE,2021-09-23,2447.4,2497.0,2445.5,2489.9,7267883.0,17993432142.75
INE002A01018,RELIANCE,2021-09-24,2503.55,2505.45,2472.0,2482.7,7011181.0,17446321055.45
INE002A01018,RELIANCE,2021-09-27,2487.0,2529.9,2475.3,2524.45,7095022.0,17815116544.95
INE002A01018,RELIANCE,2021-09-28,2534.0,2564.9,2512.8,2548.05,8323269.0,21141019462.35
INE002A01018,RELIANCE,2021-09-29,2570.0,2570.0,2520.05,2527.85,4485721.0,11379866281.2
